long,lat,order,hole,piece,group,id
-83.45000609,41.77876543,104,FALSE,1,0.1,0
-83.4494952,41.77860971,105,FALSE,1,0.1,0
-83.4490602,41.77840284,106,FALSE,1,0.1,0
-83.44886204,41.77814589,107,FALSE,1,0.1,0
-83.44867121,41.77702419,108,FALSE,1,0.1,0
-83.44860244,41.77473359,109,FALSE,1,0.1,0
-83.44809126,41.77263255,110,FALSE,1,0.1,0
-83.4471376,41.77059046,111,FALSE,1,0.1,0
-83.44632878,41.76815351,112,FALSE,1,0.1,0
-83.4457338,41.76675221,113,FALSE,1,0.1,0
-83.44601607,41.76634542,114,FALSE,1,0.1,0
-83.44659577,41.76614845,115,FALSE,1,0.1,0
-83.44782411,41.76544232,116,FALSE,1,0.1,0
-83.44799987,41.76514137,117,FALSE,1,0.1,0
